epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4935,1.66792,1.87278,1.42901,0.39472,0.65108,0.49797,0.24395,1.83109,inf,1.61494,0.0004,0.0004,0.0004
2,46.3623,1.54176,1.04168,1.35114,0.28942,0.31002,0.16921,0.08045,2.27911,3.46269,1.96217,0.000815941,0.000815941,0.000815941
3,64.7343,1.48456,0.96269,1.33708,0.00024,0.00064,0.00012,1e-05,nan,nan,nan,0.00122772,0.00122772,0.00122772
4,95.4381,1.50029,0.99319,1.3458,0.00815,0.03307,0.00381,0.00079,4.76981,inf,12.2621,0.00163535,0.00163535,0.00163535
5,110.425,1.62495,1.03657,1.39595,0.00083,0.00064,0.00042,0.00015,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,126.088,1.59549,1.02588,1.40833,0.00902,0.01971,0.0046,0.00152,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,156.972,1.52752,0.97057,1.3713,0.57049,0.39714,0.41989,0.22108,2.12685,1.94756,1.97121,0.0019406,0.0019406,0.0019406
8,182.994,1.55249,0.97887,1.3631,0.20487,0.11065,0.05551,0.02614,3.1508,3.6114,3.77951,0.0019307,0.0019307,0.0019307
9,206.5,1.48205,0.9437,1.32836,0.46779,0.5352,0.36376,0.18545,1.91133,2.52915,1.75073,0.0019208,0.0019208,0.0019208
10,215.367,1.41531,0.89626,1.30459,0.6065,0.45332,0.48108,0.25327,1.99391,1.73629,1.70938,0.0019109,0.0019109,0.0019109
11,249.094,1.44096,0.89983,1.30554,0.66569,0.51638,0.58006,0.29198,1.90561,1.87811,1.72291,0.001901,0.001901,0.001901
12,268.372,1.47461,0.90976,1.3021,0.72889,0.56762,0.66325,0.42725,1.39884,1.12153,1.39736,0.0018911,0.0018911,0.0018911
13,298.078,1.40568,0.87132,1.29423,0.75039,0.65859,0.72564,0.46303,1.40984,1.00859,1.38386,0.0018812,0.0018812,0.0018812
14,311.437,1.38788,0.84532,1.2715,0.80047,0.62761,0.7315,0.48051,1.31531,0.93411,1.3211,0.0018713,0.0018713,0.0018713
15,328.907,1.36043,0.84361,1.26828,0.80502,0.71415,0.79846,0.49045,1.43186,0.94501,1.32054,0.0018614,0.0018614,0.0018614
16,347.952,1.36486,0.84567,1.28184,0.84585,0.71955,0.81532,0.5083,1.40005,0.86672,1.30683,0.0018515,0.0018515,0.0018515
17,356.946,1.3749,0.84314,1.2807,0.84096,0.69921,0.79895,0.49915,1.40289,0.8889,1.30511,0.0018416,0.0018416,0.0018416
