epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2903,1.74587,1.6933,1.4703,0.38334,0.76336,0.60945,0.2761,1.64875,inf,1.54535,0.00052,0.00052,0.00052
2,74.8039,1.64297,1.08546,1.41076,0.32486,0.41777,0.24889,0.10027,2.23469,2.649,2.04526,0.00105475,0.00105475,0.00105475
3,140.172,1.60549,1.01577,1.38173,0.03263,0.16077,0.01921,0.00569,nan,nan,nan,0.00158416,0.00158416,0.00158416
4,198.742,1.60961,1.02235,1.41747,0.03589,0.01735,0.00635,0.00185,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,237.42,1.53721,1.01192,1.37551,0.00235,0.00925,0.00107,0.00056,4.31606,inf,20.4579,0.0019604,0.0019604,0.0019604
6,283.186,1.52742,0.98067,1.36425,0.26341,0.05344,0.11787,0.05725,3.40703,nan,4.30083,0.0019505,0.0019505,0.0019505
7,322.34,1.50331,0.94449,1.33276,0.69661,0.12931,0.21117,0.14137,3.22572,4.53347,2.77068,0.0019406,0.0019406,0.0019406
8,366.978,1.48275,0.93262,1.33355,0.55369,0.32227,0.38545,0.22629,2.08059,2.48602,1.76528,0.0019307,0.0019307,0.0019307
9,424.99,1.43796,0.88603,1.30994,0.79278,0.6177,0.70414,0.39598,1.62676,1.1409,1.46764,0.0019208,0.0019208,0.0019208
10,490.55,1.46811,0.90161,1.33791,0.72011,0.38584,0.47022,0.28543,1.86821,1.92223,1.66885,0.0019109,0.0019109,0.0019109
11,584.741,1.37598,0.86284,1.28288,0.73526,0.57645,0.65864,0.40769,1.34466,1.29467,1.36568,0.001901,0.001901,0.001901
12,643.94,1.43447,0.8816,1.29634,0.82551,0.58221,0.69712,0.41454,1.49111,1.06272,1.39703,0.0018911,0.0018911,0.0018911
13,660.824,1.41684,0.87227,1.29173,0.79873,0.68848,0.76555,0.41377,1.56294,0.91943,1.39052,0.0018812,0.0018812,0.0018812
14,695.113,1.37104,0.8438,1.27627,0.86899,0.70969,0.81126,0.45238,1.52718,0.88558,1.36771,0.0018713,0.0018713,0.0018713
